Champion1_Blue,Champion2_Blue,Champion3_Blue,Champion4_Blue,Champion5_Blue,Champion1_Red,Champion2_Red,Champion3_Red,Champion4_Red,Champion5_Red,Result
Aatrox,Nidalee,Vladimir,Aphelios,Alistar,Irelia,Kindred,Cassiopeia,Senna,Varus,Blue
Garen,Ivern,Tristana,Aphelios,Thresh,Zac,Brand,Akshan,Jhin,Blitzcrank,Blue
Riven,Hecarim,Viktor,Corki,Shen,Camille,Lillia,Kalista,Ezreal,Yuumi,Red
Renekton,Skarner,Lux,Corki,Milio,Malzahar,Warwick,Tristana,Caitlyn,Neeko,Blue
KSante,JarvanIV,Anivia,Lucian,Nami,Poppy,Gragas,Corki,Kaisa,Pyke,Red
Irelia,Kindred,AurelionSol,Kaisa,Braum,Gnar,Skarner,Tristana,Caitlyn,Karma,Red
Jax,Maokai,Tristana,Zeri,Poppy,Camille,Rengar,Azir,Lucian,Nami,Red
Camille,Rengar,Malphite,Twitch,Rell,Corki,Brand,Sylas,Kalista,Poppy,Red
KogMaw,Belveth,Irelia,Corki,Janna,Camille,Skarner,Taliyah,Jinx,Lulu,Red
Darius,MasterYi,Zilean,Varus,Sona,TwistedFate,Gragas,AurelionSol,Draven,Senna,Red
Riven,Khazix,Hwei,Caitlyn,Janna,Poppy,Graves,Corki,Xayah,Lux,Red
Renekton,Viego,Leblanc,Corki,Lulu,Rumble,Lillia,Tristana,Caitlyn,Nautilus,Red
Sett,Kindred,Taliyah,Aphelios,Milio,Jayce,Poppy,Ahri,Hwei,Senna,Red
Ryze,Rammus,Lucian,Caitlyn,Zyra,Jayce,Lillia,Tristana,Twitch,Yuumi,Blue
Gnar,XinZhao,Tristana,Varus,Corki,Tryndamere,Nidalee,Hwei,Draven,Nautilus,Red
Volibear,LeeSin,AurelionSol,Tristana,Ashe,Vayne,Rumble,Qiyana,Draven,Poppy,Blue
Singed,Karthus,Katarina,Caitlyn,Braum,Camille,Khazix,Neeko,Kalista,Renata,Red
TwistedFate,Hecarim,AurelionSol,Xayah,Rakan,Jax,Rammus,Taliyah,Kalista,Rell,Red
Kayle,Lillia,Hwei,Varus,Rumble,Camille,LeeSin,Viktor,Caitlyn,Ashe,Red
Camille,Lillia,Zilean,Kalista,Lulu,Corki,Skarner,Kassadin,Yone,Rell,Blue
Singed,Brand,Katarina,Jhin,Pyke,Yorick,Diana,Corki,Zeri,Lulu,Blue
Anivia,LeeSin,Lucian,TwistedFate,Nami,Sejuani,Viego,Taliyah,Zeri,Yuumi,Red
Jayce,Diana,Yasuo,Taliyah,Kalista,Aatrox,Viego,Katarina,Varus,Ashe,Red
Renekton,Viego,Yone,Samira,Rakan,Quinn,JarvanIV,Tristana,Sivir,Lulu,Red
Kalista,Nidalee,Jayce,Ornn,Ashe,KSante,Brand,Tristana,Draven,Pyke,Red
Aatrox,Karthus,Hwei,Corki,Poppy,Kled,Lillia,Tristana,Kaisa,Morgana,Blue
Qiyana,Kindred,Katarina,Lux,Soraka,Lucian,Brand,Zilean,Nilah,Camille,Blue
Riven,Gragas,Kalista,Ahri,Blitzcrank,Qiyana,Taliyah,Tristana,Seraphine,Thresh,Red
Riven,RekSai,Taliyah,Jinx,Lulu,KSante,FiddleSticks,Tristana,Lucian,Nami,Blue
Jinx,Kindred,Taliyah,Skarner,Thresh,Vayne,Khazix,Azir,Kaisa,Rell,Blue
Fiora,Graves,Katarina,Kalista,Ashe,Rammus,LeeSin,Taliyah,Varus,Braum,Red
Aatrox,Graves,Vladimir,Caitlyn,Lux,Skarner,Viego,AurelionSol,Kalista,Blitzcrank,Red
Renekton,Kayn,Azir,Samira,Nautilus,Jax,Karthus,Akshan,Caitlyn,Alistar,Red
Gragas,Kindred,Viktor,Jhin,Soraka,Warwick,Khazix,Samira,Taliyah,Braum,Red
Akali,Elise,Yasuo,Ezreal,Blitzcrank,Gragas,Graves,Ahri,Lucian,Milio,Red
Renekton,Skarner,AurelionSol,Corki,Sona,Lulu,Kindred,Taliyah,Tristana,Camille,Red
Aphelios,Nunu,Orianna,Urgot,Rell,Fiora,Kindred,TwistedFate,Karthus,Senna,Red
Malzahar,Khazix,Leblanc,Kaisa,Thresh,Rumble,Zyra,Yone,Kalista,Ashe,Red
